Split,SplitSize,FinalScore,DoASize
1100100111,4,0.0705,88
1100000110,4,0.071,57
1100011001,5,0.0755,42
1100100110,5,0.07,39
1111100110,3,0.07,36
1100100000,3,0.0715,33
1111000001,5,0.076,25
1100111110,3,0.0695,21
1111011001,3,0.0695,18
1100000000,2,0.069,15
1111111001,2,0.069,14
1111000000,4,0.0765,13
1100011000,4,0.075,12
1111011000,4,0.076,11
1111100111,2,0.0695,7
1111100001,4,0.077,7
1100111111,2,0.07,5
1000100111,5,0.078,5
1011101100,4,0.0835,1
1010010111,4,0.0845,1
1111110101,2,0.081,1
1110000000,3,0.078,1
1101110101,3,0.0835,1
