Split,SplitSize,FinalScore,DoASize
11000000100001111111,10,-0.339646,499
11000100100001111111,9,-0.369952,467
10000000100001111111,9,-0.331357,413
11001100100001111111,8,-0.439232,325
10000000100001111101,8,-0.336698,304
11001110100001111111,7,-0.387609,226
10000000100001111001,7,-0.374554,197
10000000100001111000,6,-0.39422,93
11001111100001111111,6,-0.380619,64
10110011011111100001,8,-0.224813,45
11111111011110000111,5,-0.43042,34
11001100111001111111,6,-0.331086,32
11001100000000000111,7,-0.195821,26
11101111100001111111,5,-0.417784,24
11001100000001100111,9,-0.205005,20
11001100000000100111,8,-0.188352,18
10110011111111111000,6,-0.214597,16
11111111011110100111,4,-0.420305,15
11001100100111111111,6,-0.330435,13
11011100111001111111,5,-0.316131,12
10010000111111111001,8,-0.152921,12
11101111100011111111,4,-0.392764,10
10010000111111111000,9,-0.146681,9
10110011111111111101,4,-0.227658,8
10100011100111111001,8,-0.140939,6
11101111000000000111,10,-0.139308,4
11111111111111100111,2,-0.590687,3
11011100111111111111,3,-0.401341,3
10110011111111111001,5,-0.246847,3
11011100111011111111,4,-0.309426,3
11111111011111100111,3,-0.522891,3
10110011111111111111,3,-0.240602,2
